[Fees],,,,,
!Label,!License Type Abbr,!Application Type,!Flat Rate,!Apply Tax,!Removable
Master Class A,MA,Initial,375,Yes,Yes
Master Class A,MA,Renewal,375,Yes,Yes
Master Class B,MB,Initial,375,Yes,Yes
Master Class B,MB,Renewal,375,Yes,Yes
Inactive Master Class A,IMA,Initial,75,Yes,Yes
Inactive Master Class A,IMA,Renewal,75,Yes,Yes
Inactive Master Class B,IMB,Initial,75,Yes,Yes
Inactive Master Class B,IMB,Renewal,75,Yes,Yes
Journeyman Class A,JA,Initial,75,Yes,Yes
Journeyman Class A,JA,Renewal,75,Yes,Yes
Journeyman Class B,JB,Initial,75,Yes,Yes
Journeyman Class B,JB,Renewal,75,Yes,Yes
Special Electrician,SE,Initial,75,Yes,Yes
Special Electrician,SE,Renewal,75,Yes,Yes
Residential Master,RM,Initial,375,Yes,Yes
Residential Master,RM,Renewal,375,Yes,Yes
Residential Electrician,RE,Initial,75,Yes,Yes
Residential Electrician,RE,Renewal,75,Yes,Yes
Apprentice,AE,Initial,20,Yes,Yes
Apprentice,AE,Renewal,20,Yes,Yes
Unclassified Person,UP,Initial,20,Yes,Yes
Unclassified Person,UP,Renewal,20,Yes,Yes
Electrical Contractor,EC,Initial,375,Yes,Yes
Electrical Contractor,EC,Renewal,375,Yes,Yes
Residential Contractor,REC,Initial,375,Yes,Yes
Residential Contractor,REC,Renewal,375,Yes,Yes
,,,,,
,,,,,
[Fee Modifiers],,,,,
!Fee Label,!Label,!Type,!Rate,!Start Range,!End Range
Apprentice,Prorate,dollar,-1.74,-11 months,-10 months
Apprentice,Prorate,dollar,-3.4,-10 months,-9 months
Apprentice,Prorate,dollar,-5.06,-9 months,-8 months
Apprentice,Prorate,dollar,-6.72,-8 months,-7 months
Apprentice,Prorate,dollar,-8.38,-7 months,-6 months
Apprentice,Prorate,dollar,-10.04,-6 months,-5 months
Apprentice,Prorate,dollar,-11.7,-5 months,-4 months
Apprentice,Prorate,dollar,-13.36,-4 months,-3 months
Unclassified Person,Prorate,dollar,-1.74,-11 months,-10 months
Unclassified Person,Prorate,dollar,-3.4,-10 months,-9 months
Unclassified Person,Prorate,dollar,-5.06,-9 months,-8 months
Unclassified Person,Prorate,dollar,-6.72,-8 months,-7 months
Unclassified Person,Prorate,dollar,-8.38,-7 months,-6 months
Unclassified Person,Prorate,dollar,-10.04,-6 months,-5 months
Unclassified Person,Prorate,dollar,-11.7,-5 months,-4 months
Unclassified Person,Prorate,dollar,-13.36,-4 months,-3 months
Journeyman Class A,Prorate,dollar,-2.12,-35 months,-34 months
Journeyman Class A,Prorate,dollar,-4.92,-34 months,-33 months
Journeyman Class A,Prorate,dollar,-6.28,-33 months,-32 months
Journeyman Class A,Prorate,dollar,-8.36,-32 months,-31 months
Journeyman Class A,Prorate,dollar,-10.44,-31 months,-30 months
Journeyman Class A,Prorate,dollar,-12.52,-30 months,-29 months
Journeyman Class A,Prorate,dollar,-14.6,-29 months,-28 months
Journeyman Class A,Prorate,dollar,-16.68,-28 months,-27 months
Journeyman Class A,Prorate,dollar,-18.76,-27 months,-26 months
Journeyman Class A,Prorate,dollar,-20.84,-26 months,-25 months
Journeyman Class A,Prorate,dollar,-22.92,-25 months,-24 months
Journeyman Class A,Prorate,dollar,-25,-24 months,-23 months
Journeyman Class A,Prorate,dollar,-27.12,-23 months,-22 months
Journeyman Class A,Prorate,dollar,-29.2,-22 months,-21 months
Journeyman Class A,Prorate,dollar,-31.28,-21 months,-20 months
Journeyman Class A,Prorate,dollar,-33.36,-20 months,-19 months
Journeyman Class A,Prorate,dollar,-35.44,-19 months,-18 months
Journeyman Class A,Prorate,dollar,-37.52,-18 months,-17 months
Journeyman Class A,Prorate,dollar,-39.6,-17 months,-16 months
Journeyman Class A,Prorate,dollar,-41.68,-16 months,-15 months
Journeyman Class A,Prorate,dollar,-43.76,-15 months,-14 months
Journeyman Class A,Prorate,dollar,-45.84,-14 months,-13 months
Journeyman Class A,Prorate,dollar,-47.92,-13 months,-12 months
Journeyman Class A,Prorate,dollar,-50,-12 months,-11 months
Journeyman Class A,Prorate,dollar,-52.12,-11 months,-10 months
Journeyman Class A,Prorate,dollar,-54.2,-10 months,-9 months
Journeyman Class A,Prorate,dollar,-56.28,-9 months,-8 months
Journeyman Class A,Prorate,dollar,-58.36,-8 months,-7 months
Journeyman Class A,Prorate,dollar,-60.44,-7 months,-6 months
Journeyman Class A,Prorate,dollar,-62.52,-6 months,-5 months
Journeyman Class A,Prorate,dollar,-64.6,-5 months,-4 months
